UnivFullName18:40:33,Country,UnivAliasName匹配用,UnivSimilarName推断用,count
New York University,,NYU,,1
University of Pennsylvania,,,,0
University of Chicago,,,,1
Harvard University,,,,0
Columbia University,,,,0
Stanford University,,,,0
Boston College,,,,0
University of Southern California,,,,0
Massachusetts Institute of Technology??MIT??,,MIT,,0
London Business School,,,,0
University of Toronto,,,,0
The University of Texas at Austin,,,,0
Northwester University,,,,0
Duke University,,,,0
The Ohio State University-Columbus,,,,0
University of Illinois at Urbana-Champaign,,,,0
Cornell University,,,Cornell Univ,0
Indiana University Bloomington,,,,0
London School of Economics and Political Science,,,,0
University of Washington,USA,Univ Washington,Washington Univ,3
Univ Texas Dallas,,,,3
Shanghai Jiao Tong Univ,,,Xi An Jiao Tong Univ,6
Macau Univ Sci & Technol,,,Hong Kong Univ Sci & Technol;Univ Sci & Technol China;Huazhong Univ Sci & Technol;Univ Elect Sci & Technol China;Southern Univ Sci & Technol SUSTech,1
